Date,Open,High,Low,Close
4-November-2009,12609.59,12643.20,12399.59,12591.38,
5-November-2009,12588.67,12811.39,12412.93,12769.35,
6-November-2009,12899.21,13050.91,12838.29,12985.81,
9-November-2009,13029.58,13164.34,12878.66,13140.20,
10-November-2009,13271.15,13271.15,13006.42,13066.55,
11-November-2009,13104.62,13408.70,13006.60,13374.69,
12-November-2009,13389.74,13548.94,13342.55,13396.23,
13-November-2009,13400.18,13545.57,13395.00,13421.60,
16-November-2009,13502.51,13607.80,13499.77,13514.30,
17-November-2009,13528.90,13572.14,13437.20,13556.87,
18-November-2009,13501.48,13556.28,13445.47,13466.87,
19-November-2009,13437.50,13479.26,13279.54,13332.68,
20-November-2009,13270.94,13448.98,13223.64,13421.45,
23-November-2009,13402.62,13514.42,13402.36,13436.48,
24-November-2009,13472.98,13482.85,13366.23,13434.84,
25-November-2009,13465.51,13551.43,13436.98,13502.25,
26-November-2009,13505.70,13521.93,13307.86,13361.00,
27-November-2009,13101.56,13177.57,12787.52,13117.92,
30-November-2009,13294.16,13414.24,13273.26,13321.16,
1-December-2009,13388.00,13467.36,13351.54,13439.31,
2-December-2009,13503.06,13519.37,13361.80,13391.83,
3-December-2009,13454.32,13480.41,13339.73,13383.45,
4-December-2009,13325.46,13484.28,13312.34,13347.43,
7-December-2009,13407.18,13467.87,13350.84,13439.62,
8-December-2009,13453.11,13605.91,13453.11,13595.15,
9-December-2009,13539.14,13697.88,13519.86,13569.33,
10-December-2009,13583.80,13817.13,13564.70,13790.01,
11-December-2009,13867.98,13985.47,13766.78,13877.95,
14-December-2009,13870.83,14106.79,13845.56,14010.25,
15-December-2009,14059.21,14087.48,13759.98,13792.04,
16-December-2009,13776.72,13851.81,13703.37,13815.92,
17-December-2009,13825.30,13884.13,13736.85,13773.06,
18-December-2009,13743.12,13812.10,13646.98,13686.33,
21-December-2009,13685.29,13726.26,13430.47,13462.70,
22-December-2009,13551.29,13566.36,13489.86,13525.91,
23-December-2009,13563.11,13948.29,13545.76,13930.02,
24-December-2009,13973.47,14056.44,13888.47,14017.08,
29-December-2009,14053.69,14152.64,13996.13,14059.47,
30-December-2009,14079.79,14092.47,13943.60,13962.44,
31-December-2009,14056.24,14169.70,14031.14,14116.69,
4-January-2010,14176.35,14249.42,14175.29,14219.01,
5-January-2010,14307.58,14355.42,14246.64,14277.50,
6-January-2010,14350.67,14357.40,14211.57,14228.95,
7-January-2010,14227.85,14303.73,14095.59,14201.17,
8-January-2010,14276.98,14403.93,14266.59,14285.55,
11-January-2010,14350.02,14448.35,14307.89,14331.81,
12-January-2010,14403.53,14403.53,14197.61,14241.79,
13-January-2010,14160.53,14263.67,14135.35,14226.94,
14-January-2010,14276.26,14358.54,14229.48,14335.08,
15-January-2010,14381.84,14398.06,14223.75,14249.32,
18-January-2010,14245.47,14374.22,14237.99,14267.22,
19-January-2010,14254.77,14373.70,14175.84,14210.86,
20-January-2010,14212.71,14317.60,14158.47,14234.68,
21-January-2010,14202.09,14242.73,13462.06,13501.46,
22-January-2010,13227.06,13456.71,12958.04,13322.21,
25-January-2010,13324.89,13463.43,13246.61,13378.57,
27-January-2010,13256.67,13348.68,12950.61,13001.16,
28-January-2010,13131.81,13158.67,12830.43,12961.17,
29-January-2010,12844.86,13168.96,12719.23,13125.06,
1-February-2010,13055.41,13255.73,13029.55,13170.84,
2-February-2010,13283.29,13308.45,12950.20,12978.53,
3-February-2010,13040.04,13320.57,13008.55,13253.71,
4-February-2010,13223.99,13275.93,13064.33,13102.23,
5-February-2010,12800.87,12898.13,12684.81,12796.12,
6-February-2010,12881.10,12929.34,12873.67,12910.54,
8-February-2010,12909.14,13072.68,12767.78,12982.84,
9-February-2010,12973.38,13090.57,12917.74,13075.23,
10-February-2010,13165.92,13178.31,12882.11,12917.28,
11-February-2010,12943.11,13109.61,12943.11,12997.39,
15-February-2010,13069.96,13100.20,12949.64,12984.97,
16-February-2010,13087.54,13201.39,12970.98,13116.97,
17-February-2010,13241.14,13335.85,13230.65,13279.09,
18-February-2010,13279.76,13305.75,13193.79,13219.57,
19-February-2010,13131.99,13271.25,13030.60,13143.87,
22-February-2010,13255.83,13331.03,13120.79,13150.93,
23-February-2010,13097.57,13206.20,13097.57,13164.70,
24-February-2010,13122.08,13239.14,13120.74,13165.67,
25-February-2010,13219.76,13363.95,13210.00,13333.25,
26-February-2010,13358.47,13631.12,13327.59,13474.86,
2-March-2010,13600.63,13751.99,13600.63,13732.73,
3-March-2010,13801.35,13801.35,13709.68,13782.22,
4-March-2010,13794.71,13865.12,13721.76,13848.45,
5-March-2010,13938.10,14027.47,13862.44,13885.26,
8-March-2010,14008.78,14040.68,13948.95,14008.51,
9-March-2010,14038.50,14042.62,13868.04,13891.14,
10-March-2010,13875.75,13990.78,13817.30,13869.64,
11-March-2010,13879.55,13924.13,13795.65,13869.76,
12-March-2010,13935.32,13957.00,13744.12,13784.03,
15-March-2010,13771.40,13771.40,13604.95,13634.19,
16-March-2010,13622.77,13901.02,13622.77,13864.28,
17-March-2010,13937.98,14074.76,13937.98,13994.39,
18-March-2010,14035.84,14072.93,13893.73,13955.86,
19-March-2010,13979.44,14060.77,13927.28,13978.41,
22-March-2010,13819.17,13933.93,13819.17,13891.50,
23-March-2010,14001.45,14001.45,13871.96,13931.78,
25-March-2010,13945.46,14110.89,13845.07,14082.94,
26-March-2010,14130.68,14223.96,14040.94,14074.40,
29-March-2010,14124.86,14198.17,14103.62,14169.54,
30-March-2010,14208.78,14261.93,14098.98,14138.90,
31-March-2010,14152.08,14217.08,14024.31,14081.74,
1-April-2010,14141.36,14297.43,14141.36,14274.64,
5-April-2010,14344.81,14353.59,14228.98,14337.48,
6-April-2010,14382.47,14481.85,14334.25,14412.23,
7-April-2010,14434.77,14516.07,14376.25,14410.26,
8-April-2010,14399.78,14420.60,14218.65,14258.18,
9-April-2010,14277.74,14492.56,14260.43,14458.52,
12-April-2010,14489.20,14489.20,14240.27,14278.07,
13-April-2010,14300.72,14318.78,14226.91,14262.55,
15-April-2010,14345.22,14400.48,14023.76,14063.30,
16-April-2010,14054.45,14109.07,13960.63,13984.10,
19-April-2010,13875.53,13921.21,13750.32,13890.70,
20-April-2010,13978.75,14112.58,13927.07,14026.48,
21-April-2010,14103.20,14103.20,13912.00,13946.13,
22-April-2010,13914.29,14107.81,13836.61,13936.11,
23-April-2010,13955.59,14129.47,13945.27,14107.16,
26-April-2010,14160.25,14216.40,14092.84,14147.81,
27-April-2010,14095.48,14204.41,14095.48,14115.94,
28-April-2010,13956.66,14062.79,13851.01,13911.07,
29-April-2010,13943.74,13992.72,13898.13,13954.08,
30-April-2010,14017.18,14108.78,13987.86,14028.78,
3-May-2010,13954.33,13959.77,13825.45,13860.42,
4-May-2010,13887.84,13976.45,13575.82,13625.62,
5-May-2010,13388.15,13559.60,13332.89,13519.56,
6-May-2010,13501.75,13504.59,13280.19,13383.87,
7-May-2010,13247.37,13324.52,13058.68,13248.48,
10-May-2010,13409.47,13550.27,13373.02,13530.11,
11-May-2010,13558.67,13570.07,13346.34,13365.46,
12-May-2010,13389.22,13451.13,13282.72,13352.41,
13-May-2010,13437.64,13531.38,13401.36,13466.22,
14-May-2010,13445.57,13556.84,13185.10,13226.85,
17-May-2010,13198.54,13621.87,12998.69,13596.79,
18-May-2010,13661.26,13935.90,13640.59,13816.78,
19-May-2010,13658.40,13815.31,13519.42,13564.23,
20-May-2010,13580.95,13689.76,13499.56,13589.53,
21-May-2010,13370.44,13418.40,13272.98,13385.52,
24-May-2010,13517.02,13678.05,13482.68,13532.58,
25-May-2010,13417.91,13434.65,13063.11,13114.04,
26-May-2010,13246.02,13408.02,13185.12,13355.60,
27-May-2010,13398.36,13611.80,13398.36,13573.86,
28-May-2010,13675.91,13710.55,13609.74,13662.65,
31-May-2010,13663.82,13671.41,13589.64,13657.42,
1-June-2010,13651.06,13651.06,13405.70,13419.87,
2-June-2010,13456.13,13596.91,13379.68,13572.57,
3-June-2010,13658.48,13804.97,13658.48,13790.05,
4-June-2010,13823.52,13827.27,13690.12,13808.50,
7-June-2010,13571.31,13597.47,13473.42,13554.13,
8-June-2010,13546.08,13678.19,13455.16,13505.29,
9-June-2010,13523.49,13668.86,13501.70,13596.86,
10-June-2010,13622.47,13810.37,13618.94,13791.66,
11-June-2010,13874.62,13969.31,13855.58,13931.12,
14-June-2010,13976.65,14089.71,13928.41,14070.06,
15-June-2010,14072.19,14246.13,14041.08,14219.12,
16-June-2010,14272.81,14275.08,14137.61,14209.37,
17-June-2010,14234.30,14487.55,14159.79,14462.22,
18-June-2010,14497.90,14644.65,14474.43,14551.28,
21-June-2010,14683.23,14842.72,14683.23,14808.15,
22-June-2010,14785.41,14785.41,14650.84,14701.56,
23-June-2010,14636.35,14662.67,14476.78,14498.94,
24-June-2010,14519.37,14682.32,14508.23,14611.07,
25-June-2010,14574.83,14664.52,14453.18,14471.41,
28-June-2010,14495.08,14689.71,14495.08,14680.93,
29-June-2010,14652.02,14722.83,14553.32,14628.18,
30-June-2010,14523.12,14743.76,14523.12,14710.04,
1-July-2010,14654.26,14654.26,14543.80,14574.33,
2-July-2010,14589.69,14709.52,14458.64,14494.34,
5-July-2010,14508.05,14566.01,14437.55,14454.31,
6-July-2010,14438.95,14564.57,14438.95,14536.26,
7-July-2010,14547.60,14557.89,14435.70,14461.88,
8-July-2010,14582.53,14680.68,14582.53,14629.95,
9-July-2010,14687.23,14755.47,14624.38,14652.26,
12-July-2010,14711.17,14788.99,14657.97,14761.57,
13-July-2010,14759.45,14932.15,14759.45,14907.44,
14-July-2010,14947.85,15166.33,14932.10,15075.61,
15-July-2010,15126.27,15133.58,14960.47,15010.36,
16-July-2010,15033.13,15070.43,14955.52,15009.95,
19-July-2010,14962.32,15129.78,14949.54,15042.83,
20-July-2010,15110.20,15166.86,15018.03,15048.47,
21-July-2010,15097.51,15174.58,15071.12,15151.00,
22-July-2010,15133.19,15268.46,15079.81,15259.55,
23-July-2010,15358.27,15370.94,15275.97,15331.18,
26-July-2010,15386.62,15429.63,15191.31,15216.43,
27-July-2010,15175.97,15179.89,14876.07,14925.34,
28-July-2010,14960.62,15031.92,14764.74,14796.60,
29-July-2010,14735.45,14810.96,14684.47,14759.87,
30-July-2010,14755.99,14782.90,14563.36,14591.67,
2-August-2010,14674.21,14736.71,14639.40,14689.35,
3-August-2010,14742.22,14742.22,14548.96,14582.65,
4-August-2010,14610.54,14812.23,14546.36,14749.18,
5-August-2010,14818.87,14856.59,14728.11,14750.08,
6-August-2010,14756.80,14862.18,14644.79,14687.79,
9-August-2010,14714.06,14800.51,14714.06,14772.10,
10-August-2010,14780.09,14875.48,14752.51,14793.09,
11-August-2010,14776.11,14842.56,14658.52,14681.08,
12-August-2010,14610.62,14708.86,14574.25,14655.37,
13-August-2010,14719.05,14776.30,14654.33,14689.79,
16-August-2010,14682.86,14777.46,14521.71,14557.41,
17-August-2010,14572.42,14637.37,14499.34,14515.69,
18-August-2010,14514.42,14589.35,14443.90,14562.18,
19-August-2010,14629.63,14703.33,14620.28,14686.68,
20-August-2010,14660.83,14904.03,14642.18,14887.65,
23-August-2010,14874.31,15022.61,14834.48,14964.66,
24-August-2010,14990.94,15022.39,14829.07,14870.79,
25-August-2010,14863.51,14915.77,14756.21,14792.77,
26-August-2010,14840.36,14930.24,14786.24,14889.69,
27-August-2010,14935.59,14968.86,14624.00,14722.82,
30-August-2010,14819.30,14913.90,14584.60,14631.60,
31-August-2010,14581.33,14594.55,14460.63,14524.53,
1-September-2010,14559.87,14684.20,14513.43,14663.00,
2-September-2010,14775.26,14790.29,14685.87,14732.17,
3-September-2010,14728.16,14791.12,14705.88,14730.29,
6-September-2010,14798.38,14942.60,14798.38,14847.31,
7-September-2010,14898.19,15104.29,14898.19,15039.13,
8-September-2010,15031.80,15046.59,14909.15,14971.47,
9-September-2010,14990.86,15109.44,14990.86,15094.78,
13-September-2010,15203.33,15324.97,15203.33,15222.71,
14-September-2010,15294.15,15374.26,15220.44,15307.57,
15-September-2010,15337.13,15408.12,15297.52,15315.81,
16-September-2010,15336.01,15456.88,15264.53,15372.00,
17-September-2010,15413.13,15564.65,15413.13,15511.40,
20-September-2010,15556.09,15734.29,15539.75,15701.03,
21-September-2010,15734.34,16071.33,15734.34,15876.50,
22-September-2010,15970.67,16003.44,15594.54,15726.51,
23-September-2010,15787.34,15833.24,15624.00,15734.84,
24-September-2010,15744.50,15864.73,15711.74,15841.98,
27-September-2010,15954.62,16016.08,15891.82,15908.62,
28-September-2010,15955.31,16102.87,15942.00,16056.77,
29-September-2010,16142.07,16153.47,15963.61,15984.28,
30-September-2010,16021.35,16044.48,15830.25,15995.46,
1-October-2010,16088.62,16456.35,16041.78,16426.34,
4-October-2010,16503.48,16582.02,16349.41,16384.03,
5-October-2010,16377.91,16504.31,16342.25,16377.18,
6-October-2010,16441.00,16583.24,16441.00,16533.07,
7-October-2010,16529.51,16595.40,16285.83,16325.56,
8-October-2010,16382.64,16479.20,16164.15,16248.50,
11-October-2010,16374.30,16432.20,16213.97,16254.69,
12-October-2010,16276.05,16276.05,15903.37,15997.29,
13-October-2010,16043.05,16477.12,15994.89,16426.36,
14-October-2010,16501.12,16529.72,16062.35,16107.37,
15-October-2010,16153.68,16179.30,15855.75,15904.64,
18-October-2010,15947.25,15995.58,15572.34,15963.50,
19-October-2010,16064.11,16089.92,15784.11,15836.20,
20-October-2010,15797.61,15955.98,15775.09,15868.36,
21-October-2010,15900.07,16150.48,15868.16,16118.09,
22-October-2010,16132.37,16165.55,16005.14,16077.71,
25-October-2010,16051.57,16223.50,16051.57,16119.74,
26-October-2010,16124.36,16139.76,16042.02,16084.95,
27-October-2010,16062.30,16071.56,15868.19,15929.03,
28-October-2010,15953.00,16032.33,15792.37,15843.70,
29-October-2010,15816.21,15954.92,15737.98,15818.85,
1-November-2010,15889.74,16201.72,15889.74,16163.48,
2-November-2010,16166.04,16416.34,16166.04,16393.39,
3-November-2010,16428.51,16546.47,16382.99,16495.96,
4-November-2010,16560.43,16860.58,16560.43,16672.60,
5-November-2010,16728.74,16813.90,16652.97,16701.69,
8-November-2010,16680.50,16726.60,16494.70,16616.48,
9-November-2010,16643.38,16733.27,16550.30,16692.61,
10-November-2010,16671.17,16712.71,16535.53,16573.36,
11-November-2010,16580.49,16629.68,16325.09,16352.18,
12-November-2010,16339.78,16356.51,16016.13,16048.47,
15-November-2010,15965.22,16073.84,15868.15,16049.29,
16-November-2010,16060.79,16076.13,15580.92,15602.93,
18-November-2010,15608.35,15785.67,15516.54,15741.02,
