Date,Open,High,Low,Close
27-August-2002,,,,1384.25,
28-August-2002,,,,1389.90,
29-August-2002,,,,1349.73,
30-August-2002,,,,1352.38,
2-September-2002,,,,1343.96,
3-September-2002,,,,1369.74,
4-September-2002,,,,1377.69,
5-September-2002,,,,1377.82,
6-September-2002,,,,1374.11,
9-September-2002,,,,1277.15,
11-September-2002,,,,1257.76,
12-September-2002,,,,1257.66,
13-September-2002,,,,1253.72,
16-September-2002,,,,1239.33,
17-September-2002,,,,1232.39,
18-September-2002,,,,1225.84,
19-September-2002,,,,1221.63,
20-September-2002,,,,1231.88,
23-September-2002,,,,1232.96,
24-September-2002,,,,1233.22,
25-September-2002,,,,1236.82,
26-September-2002,,,,1234.19,
27-September-2002,,,,1231.32,
30-September-2002,,,,1207.28,
1-October-2002,,,,1201.07,
3-October-2002,,,,1207.41,
4-October-2002,,,,1203.79,
7-October-2002,,,,1245.21,
8-October-2002,,,,1246.54,
9-October-2002,,,,1241.77,
10-October-2002,,,,1260.16,
11-October-2002,,,,1294.54,
14-October-2002,,,,1287.86,
16-October-2002,,,,1280.30,
17-October-2002,,,,1279.61,
18-October-2002,,,,1300.49,
21-October-2002,,,,1295.80,
22-October-2002,,,,1254.56,
23-October-2002,,,,1250.44,
24-October-2002,,,,1242.31,
25-October-2002,,,,1227.73,
28-October-2002,,,,1224.37,
29-October-2002,,,,1256.99,
30-October-2002,,,,1274.95,
31-October-2002,,,,1328.58,
1-November-2002,,,,1340.66,
4-November-2002,,,,1347.79,
5-November-2002,,,,1331.23,
7-November-2002,,,,1328.97,
8-November-2002,,,,1335.33,
11-November-2002,,,,1326.61,
12-November-2002,,,,1336.01,
13-November-2002,,,,1345.85,
14-November-2002,,,,1310.03,
15-November-2002,,,,1310.33,
18-November-2002,,,,1325.19,
20-November-2002,,,,1296.42,
21-November-2002,,,,1286.17,
22-November-2002,,,,1301.23,
25-November-2002,,,,1320.97,
26-November-2002,,,,1331.80,
27-November-2002,,,,1325.59,
28-November-2002,,,,1322.86,
29-November-2002,,,,1332.23,
2-December-2002,,,,1367.33,
3-December-2002,,,,1347.76,
4-December-2002,,,,1349.85,
5-December-2002,,,,1354.31,
6-December-2002,,,,1405.14,
9-December-2002,,,,1374.62,
10-December-2002,,,,1379.01,
11-December-2002,,,,1378.99,
12-December-2002,,,,1380.83,
13-December-2002,,,,1391.39,
16-December-2002,,,,1392.11,
17-December-2002,,,,1384.82,
18-December-2002,,,,1377.61,
19-December-2002,,,,1368.29,
20-December-2002,,,,1378.63,
23-December-2002,,,,1383.14,
24-December-2002,,,,1381.21,
26-December-2002,,,,1393.47,
27-December-2002,,,,1396.81,
30-December-2002,,,,1388.41,
31-December-2002,,,,1390.70,
1-January-2003,,,,1400.97,
2-January-2003,,,,1418.50,
3-January-2003,,,,1407.91,
6-January-2003,,,,1408.84,
7-January-2003,,,,1423.74,
8-January-2003,,,,1415.33,
9-January-2003,,,,1455.32,
10-January-2003,,,,1433.80,
13-January-2003,,,,1424.36,
14-January-2003,,,,1423.42,
15-January-2003,,,,1423.58,
16-January-2003,,,,1431.05,
17-January-2003,,,,1435.20,
20-January-2003,,,,1431.94,
21-January-2003,,,,1438.06,
22-January-2003,,,,1440.23,
23-January-2003,,,,1438.39,
24-January-2003,,,,1417.67,
27-January-2003,,,,1383.14,
28-January-2003,,,,1391.92,
29-January-2003,,,,1393.37,
30-January-2003,,,,1378.97,
31-January-2003,,,,1382.29,
3-February-2003,,,,1385.81,
4-February-2003,,,,1386.90,
5-February-2003,,,,1390.46,
6-February-2003,,,,1400.05,
7-February-2003,,,,1392.70,
10-February-2003,,,,1391.00,
11-February-2003,,,,1396.68,
12-February-2003,,,,1391.24,
14-February-2003,,,,1394.48,
17-February-2003,,,,1416.84,
18-February-2003,,,,1417.87,
19-February-2003,,,,1420.74,
20-February-2003,,,,1422.48,
21-February-2003,,,,1433.48,
24-February-2003,,,,1443.66,
25-February-2003,,,,1430.71,
26-February-2003,,,,1421.82,
27-February-2003,,,,1438.79,
28-February-2003,,,,1441.40,
3-March-2003,,,,1455.21,
4-March-2003,,,,1443.11,
5-March-2003,,,,1432.42,
6-March-2003,,,,1409.86,
7-March-2003,,,,1390.43,
10-March-2003,,,,1381.37,
11-March-2003,,,,1397.49,
12-March-2003,,,,1382.41,
13-March-2003,,,,1379.16,
17-March-2003,,,,1381.82,
